Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,40.490002,40.580002,40.220001,40.380001,40.380001,146400
2018-07-23,40.389999,40.389999,39.820000,40.270000,40.270000,114100
2018-07-24,40.500000,40.639999,40.250000,40.439999,40.439999,236300
2018-07-25,40.500000,40.660000,40.160000,40.619999,40.619999,201000
2018-07-26,40.700001,41.450001,40.619999,41.180000,41.180000,197600
2018-07-27,41.189999,41.320000,40.279999,40.450001,40.450001,123100
2018-07-30,40.549999,40.779999,39.759998,39.959999,39.959999,109200
2018-07-31,39.990002,40.389999,39.990002,40.209999,40.209999,103000
2018-08-01,40.049999,40.209999,39.660000,39.900002,39.900002,151700
2018-08-02,39.939999,39.939999,39.419998,39.660000,39.660000,119600
2018-08-03,39.740002,40.000000,39.240002,39.470001,39.470001,207900
2018-08-06,39.500000,39.650002,39.450001,39.599998,39.599998,190400
2018-08-07,39.660000,39.959999,39.619999,39.869999,39.869999,152100
2018-08-08,39.400002,39.400002,37.720001,38.400002,38.400002,431400
2018-08-09,38.330002,38.500000,38.200001,38.360001,38.360001,256000
2018-08-10,38.099998,38.430000,38.009998,38.110001,38.110001,120600
2018-08-13,38.099998,38.270000,37.590000,37.669998,37.669998,201000
2018-08-14,37.590000,37.950001,37.560001,37.709999,37.709999,171300
2018-08-15,37.709999,37.790001,37.500000,37.639999,37.639999,173600
2018-08-16,37.630001,38.000000,37.540001,37.799999,37.799999,215600
2018-08-17,37.730000,38.020000,37.650002,37.880001,37.880001,203500
